"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"01.01.1991","6,09","6,09","6,14","5,33","191,63M","4,82%"
"01.12.1990","5,81","5,81","6,12","5,70","121,09M","0,52%"
"01.11.1990","5,78","5,78","5,88","5,44","142,47M","3,03%"
"01.10.1990","5,61","5,61","5,77","4,97","190,68M","13,56%"
"01.09.1990","4,94","4,94","5,38","4,67","119,89M","-6,44%"
"01.08.1990","5,28","5,28","5,70","4,66","194,62M","-6,88%"
"01.07.1990","5,67","5,67","6,05","5,45","149,64M","2,16%"
"01.06.1990","5,55","5,55","5,86","5,30","166,03M","-1,60%"
"01.05.1990","5,64","5,64","5,73","4,77","231,09M","18,24%"
"01.04.1990","4,77","4,77","5,08","4,64","168,96M","2,14%"
"01.03.1990","4,67","4,67","4,75","4,35","185,14M","5,90%"
"01.02.1990","4,41","4,41","4,43","4,18","180,87M","2,56%"
